State,Wall follower,Guidance
1110,-0.2208382439500114,0
1117,-0.38676085352735656,-0.6092399263433208
0000,0.13103764453750577,0.131000873241251
0007,0.19565375420245135,0.20584108263553444
0003,0.11826128816469592,0.13219866922952497
0110,0.09721617658976113,-0.3395367906558648
0106,0.02509513034704316,0.028032365407007754
0117,0.06583977120621255,-0.8317376255148916
0005,0.16073205088268122,0.22528848126393652
1000,0.09709553741794116,0.07526506919666309
1103,0.1300307819094868,0.05229387387014092
0002,0.125233988381753,0.14060857556869602
1014,0.0,0
0116,-0.21290867906862254,-0.5015264798902942
0100,-0.00656518989512804,0.0346242116099695
0017,0.054874484281690644,0.09003944245420764
0115,-0.22156729362333683,0.03331098226682945
1115,-0.11468369859650872,-0.6275239713245372
1101,-0.00413453858550376,-0.18101143470467113
0113,0.08289763176573156,0.072949184869776
0114,0.07281332363528017,0.0739238120715536
0102,0.006678483795758767,0.016823673357625704
0015,0.11161573083750662,0.1640352454100271
0001,0.5322028649086693,0.12794453899488822
1007,0.09111324370665318,0.16951795513175272
0111,0.07156984600765853,-0.19007722787913714
1111,-0.011853089352198844,-0.43584
1112,0.011069866230847242,-0.4183974752432639
0013,0.08418381189931047,0.09417167925963191
1005,0.13805175168526596,0.10762105807273079
1106,0.0836445390844786,-0.6142431409187546
1015,0.05841664687709666,0
0016,0.11055500338943018,0.1252875243020569
1012,0,0.02062305926112791
0105,0.01705976243688121,0.03187722744272502
0011,0.15780251830996259,0.11150527050723863
1003,0.1463042132325178,0.16852260221591647
1104,0.09757588736324653,0.08195000871914541
0014,0.10693469458851099,0.10048884469003432
1006,0.2242631790647197,0.09040061038650207
1116,-0.37649110374526945,-0.7796253407691245
0004,0.17490885190596167,0.12169301488089097
1001,0.18336899805282608,0.11322758275976269
1102,0.0809854068890617,0.08682659675459461
0012,0.12227440488830704,0.1220313207176809
1004,0.13021049891688918,0.03815098720413304
0101,0.00021885814750986082,0.0013584578249705667
1107,0.08833114686999735,-1.0177669893957262
0006,0.19174128363818732,0.2149935931931962
1100,0.07008863847069983,-0.14264940199007037
0112,0.08563073335424312,-0.4234222219182554
0104,0.028731072041853347,0.013409798607080954
0010,0.1468951956133172,0.10974765899947768
1002,0.07801232634578756,0.12543022171833063
0103,0,0.021601836437814232
1105,0.10219423386205506,-1.677641438198124
0107,0.028340453410621892,-0.4750879573734357
